cod_mod,docentes_hombres,docentes_mujeres,docentes_nombrados,docentes_contratados,docentes_25_menos_años,docentes_2635_años,docentes_3645_años,docentes_4655_años,docentes_5665_años,docentes_66_a_mas_años,docentes_con_titulo,docentes_sin_titulo,docentes_total
539213,0,6,6,0,1,2,2,1,0,0,6,0,6
585661,0,4,3,1,1,1,0,1,1,0,4,0,4
708081,0,2,2,0,0,0,1,1,0,0,2,0,2
708099,0,3,1,2,1,1,1,0,0,0,3,0,3
767939,0,2,2,0,0,0,0,2,0,0,2,0,2
918557,0,2,1,1,0,0,0,1,1,0,2,0,2
918581,0,1,1,0,0,0,0,1,0,0,1,0,1
1536408,0,1,1,0,1,0,0,0,0,0,1,0,1
1546167,0,1,1,0,0,1,0,0,0,0,1,0,1
1546175,0,1,1,0,0,0,0,0,1,0,1,0,1
1546183,0,1,1,0,0,0,0,1,0,0,1,0,1
1546191,0,1,1,0,0,0,0,1,0,0,1,0,1
1546209,0,2,2,0,0,1,1,0,0,0,2,0,2
1546217,0,2,1,1,0,0,2,0,0,0,2,0,2
1620749,0,1,0,1,0,0,1,0,0,0,1,0,1
1620756,0,1,1,0,0,0,0,1,0,0,1,0,1
1623529,0,1,1,0,0,0,0,1,0,0,1,0,1
1623545,0,1,1,0,0,1,0,0,0,0,0,1,1
1623552,0,1,1,0,0,0,0,1,0,0,1,0,1
1623560,0,1,1,0,0,0,1,0,0,0,1,0,1
1643139,0,1,1,0,0,0,1,0,0,0,1,0,1
1643147,0,1,1,0,0,0,0,1,0,0,1,0,1
1643154,0,1,1,0,0,0,0,1,0,0,1,0,1
1686377,0,2,0,2,0,1,1,0,0,0,2,0,2
1686385,0,1,0,1,1,0,0,0,0,0,1,0,1
1686393,0,1,0,1,0,1,0,0,0,0,1,0,1
1686401,0,1,0,1,0,0,1,0,0,0,1,0,1
1686419,0,1,1,0,0,0,0,1,0,0,1,0,1
1686427,0,1,0,1,0,1,0,0,0,0,1,0,1
1686435,0,1,1,0,0,0,0,1,0,0,1,0,1
1686443,0,1,0,1,0,0,1,0,0,0,1,0,1
223396,0,1,1,0,0,0,0,0,1,0,1,0,1
223412,0,1,1,0,0,0,0,0,1,0,0,1,1
223438,0,1,0,1,1,0,0,0,0,0,1,0,1
223446,1,1,2,0,0,0,0,0,2,0,2,0,2
223461,1,2,3,0,0,0,0,1,2,0,3,0,3
223602,2,0,2,0,0,0,1,1,0,0,2,0,2
224196,0,1,1,0,0,0,0,0,1,0,1,0,1
224394,1,0,1,0,0,0,0,1,0,0,1,0,1
224881,1,0,0,1,0,0,1,0,0,0,1,0,1
259002,1,1,2,0,0,0,0,2,0,0,2,0,2
259010,2,7,5,4,0,2,3,2,2,0,8,1,9
259028,3,11,12,2,0,1,3,4,6,0,14,0,14
259036,0,3,3,0,0,0,0,2,1,0,3,0,3
259044,3,0,1,2,0,0,2,0,1,0,3,0,3
259069,1,3,3,1,0,0,0,2,2,0,4,0,4
259077,2,1,3,0,0,0,0,1,2,0,3,0,3
259085,3,4,3,4,0,1,2,4,0,0,7,0,7
262485,1,0,1,0,0,0,0,0,1,0,1,0,1
262493,1,0,1,0,0,0,0,0,1,0,1,0,1
262501,1,0,1,0,0,0,0,1,0,0,1,0,1
270488,2,0,0,2,0,1,1,0,0,0,0,2,2
402297,4,2,1,5,0,1,2,3,0,0,5,1,6
491886,3,0,1,2,0,1,1,0,1,0,1,2,3
516708,0,1,1,0,0,0,0,0,1,0,1,0,1
544593,1,0,1,0,0,0,0,0,1,0,1,0,1
544692,1,0,1,0,0,0,0,0,1,0,1,0,1
544791,1,1,2,0,0,0,1,0,1,0,2,0,2
623249,2,0,1,1,0,2,0,0,0,0,2,0,2
623488,0,1,0,1,0,0,0,1,0,0,1,0,1
623603,1,0,1,0,0,0,0,1,0,0,1,0,1
623611,0,1,0,1,0,0,0,1,0,0,1,0,1
623629,1,1,0,2,0,0,1,0,1,0,2,0,2
623660,2,0,0,2,0,1,1,0,0,0,0,2,2
623678,0,1,0,1,0,0,1,0,0,0,1,0,1
658310,1,0,1,0,0,0,0,0,1,0,1,0,1
676635,0,1,1,0,0,0,0,0,1,0,1,0,1
837757,1,0,1,0,0,0,0,1,0,0,1,0,1
